timestamp,score,value,anomaly
0,0.0,9.857862720775328e-06,0.0
1,0.0,2.9816148990997105e-06,0.0
2,0.0,1.0669448666660127e-05,0.0
3,0.0,2.230873193458239e-05,0.0
4,0.0,4.155824581135005e-06,0.0
5,0.0,1.0910573737151123e-05,0.0
6,0.0,2.2563890950068153e-06,0.0
7,0.0,2.598647255535575e-05,0.0
8,0.0,3.414893956951412e-06,0.0
9,0.98885,2.9287189221115206e-06,0.0
10,0.0,3.289274973329861e-06,0.0
11,0.0,1.2787223605933877e-05,0.0
12,0.0,3.0401137572948396e-06,0.0
13,0.0,1.0375609721166496e-05,0.0
14,0.0,5.196437800871782e-06,0.0
15,0.0,3.0470877568053205e-06,0.0
16,0.0,2.7545719798708146e-06,0.0
17,0.0,5.059813799616606e-06,0.0
18,0.0,4.298196101729102e-06,0.0
19,0.0,2.040539977133372e-06,0.0
20,0.0,3.845040016945455e-06,0.0
21,0.0,2.2266691671051086e-06,0.0
22,0.0,2.7365448046735075e-06,0.0
23,0.0,2.4660145067245597e-06,0.0
24,0.0,2.8952386361632777e-06,0.0
25,0.0,2.9967160319415642e-06,0.0
26,0.0,2.9984715229606853e-06,0.0
27,0.0,5.401363044772345e-06,0.0
28,0.0,4.865330931729693e-06,0.0
29,0.0,6.033389422335909e-06,0.0
30,0.0,4.857432992692405e-06,0.0
31,0.0,1.1442426002372031e-05,0.0
32,0.0,1.474213218106558e-06,0.0
33,0.0,5.695282474798676e-06,0.0
34,0.0,9.571457230178426e-06,0.0
35,0.0,2.8407745594616166e-06,0.0
36,0.0,2.465325152727618e-06,0.0
37,0.0,2.8407745594616166e-06,0.0
38,0.0,4.110019640280578e-06,0.0
39,0.0,5.887534643464333e-06,0.0
40,0.0,9.918207135068343e-06,0.0
41,0.0,7.009238110298486e-06,0.0
42,0.0,6.848656706427538e-06,0.0
43,0.0,4.669927699855554e-06,0.0
44,0.0,4.394013230139875e-06,0.0
45,0.0,3.2735167751765234e-06,0.0
46,0.0,5.003736160386721e-06,0.0
47,0.0,6.338457086100247e-06,0.0
48,0.0,7.356395899132474e-06,0.0
49,0.0,1.3543890668276873e-05,0.0
50,0.0,2.5902739745763293e-05,0.0
51,0.0,1.7277661898632926e-05,0.0
52,0.0,3.74801298412233e-06,0.0
53,0.0,3.3676092344900293e-06,0.0
54,0.0,2.6604248414964564e-06,0.0
55,0.0,6.530103260250764e-06,0.0
56,0.0,1.3115724602375615e-05,0.0
57,0.0,9.848131534944521e-07,0.0
58,0.0,2.0441845649296915e-05,0.0
59,0.0,3.425330196039543e-06,0.0
60,0.0,7.217975439144317e-06,0.0
61,0.0,1.8390875949722748e-05,0.0
62,0.0,1.0014699202268129e-05,0.0
63,0.0,6.218934524142398e-06,0.0
64,0.0,5.5498607151779675e-06,0.0
65,0.0,3.953658845361657e-06,0.0
66,0.0,7.178320934261014e-06,0.0
67,0.0,0.00029443604851398886,0.0
68,0.0,2.2677225990850067e-05,0.0
69,0.0,2.2846135283645097e-05,0.0
70,0.0,2.1807967927448424e-05,0.0
71,0.0,1.3569711242681485e-05,0.0
72,0.0,6.301510971001071e-06,0.0
73,0.0,1.5880835057996276e-05,0.0
74,0.0,2.414362166613451e-05,0.0
75,0.0,1.3774939116387683e-05,0.0
76,0.0,1.3961333197765977e-05,0.0
77,0.0,2.0305087358360698e-05,0.0
78,0.0,8.717328365879014e-06,0.0
79,0.0,2.0278696516146084e-05,0.0
80,0.0,3.661233374218442e-05,0.0
81,0.0,1.1466638355828436e-05,0.0
82,0.0,4.7689769051737586e-05,0.0
83,0.0,5.335247961154248e-05,0.0
84,0.207925,3.0999510309511844e-05,0.0
85,0.0,0.0004172391174987,0.0
86,0.0,0.0031836745825427055,0.0
